Feature,Raw_Importance
BCUT2D_MRHI,0.034570919417633225
MolLogP,0.03426086280181115
MolMR,0.02944549193167743
SMR_VSA10,0.0293532748778097
Chi3v,0.026405414652473827
Chi2v,0.024595366271252406
MinPartialCharge,0.024358217168670385
MolWt,0.022089416906706027
qed,0.02133560218397466
EState_VSA3,0.021291945033151315
Chi0v,0.020390610564381156
Chi4n,0.01947722260360798
Chi4v,0.017999064026979837
Chi2n,0.017966733379853425
Chi1n,0.017591430030207363
BCUT2D_LOGPHI,0.01727217298289369
Chi3n,0.01715202264159571
HeavyAtomMolWt,0.016853253149925175
Chi1v,0.016431419627865432
MaxPartialCharge,0.016002940728497148
MinAbsEStateIndex,0.01581154207010627
BCUT2D_CHGHI,0.015424793321654695
MaxAbsPartialCharge,0.01524700028271253
NHOHCount,0.014306798180479403
Kappa2,0.014303441135480797
MinAbsPartialCharge,0.01403880571149111
FpDensityMorgan1,0.013986028521455078
FpDensityMorgan3,0.013943332364843877
VSA_EState3,0.013388238538060475
LabuteASA,0.013225845133070367
HeavyAtomCount,0.01321881410363959
MinEStateIndex,0.013175004103704108
fr_benzene,0.012954247316870489
BertzCT,0.01293744235697879
Chi0,0.012688291454836092
VSA_EState6,0.012673524905191075
EState_VSA2,0.012509446830853
VSA_EState4,0.012478125150800642
BalabanJ,0.012354838023733163
BCUT2D_MWLOW,0.012320549192326937
AvgIpc,0.011804842205688589
FpDensityMorgan2,0.011740340879710716
MaxEStateIndex,0.011469412050170928
MaxAbsEStateIndex,0.011402552195723614
ExactMolWt,0.011399290385881292
PEOE_VSA1,0.010847943941543654
TPSA,0.010825778722128981
NumValenceElectrons,0.010539340351318108
BCUT2D_MWHI,0.010521052878498164
VSA_EState5,0.010514701416643934
BCUT2D_LOGPLOW,0.01041159565488872
PEOE_VSA7,0.01026259994644612
BCUT2D_CHGLO,0.010240173265592551
SlogP_VSA2,0.010198600258772745
Ipc,0.010075982207253262
SlogP_VSA6,0.009916923520567594
RingCount,0.009624619286249764
NumHeteroatoms,0.009512720544267987
BCUT2D_MRLOW,0.009210789313097932
NumAromaticRings,0.009133775465456682
HallKierAlpha,0.008922479327058036
Kappa3,0.00889641305628309
Chi1,0.00836001308979488
Kappa1,0.007411634022077196
NumAromaticCarbocycles,0.006304840416630703
NOCount,0.00627827858528945
SMR_VSA7,0.006198221186678757
NumHDonors,0.005794567826279284
NumHAcceptors,0.005188049065567634
SMR_VSA1,0.004306074469436271
EState_VSA10,0.003901898347213757
Chi0n,0.0029550064385341457
